best,threshold,entropy
319,319,319,272
319,319,319,272
320,320,320,273
321,321,321,274
322,322,322,275
322,322,322,275
323,323,323,276
324,324,324,277
324,324,324,277
324,324,324,277
324,324,324,277
324,324,324,277
324,324,324,277
325,325,325,277
325,325,325,277
325,325,325,277
325,325,325,277
325,325,325,277
325,325,325,277
325,325,325,277
326,326,326,278
326,326,326,278
326,326,326,278
326,326,326,278
326,326,326,278
326,326,326,278
326,326,326,278
326,326,326,278
326,326,326,278
328,328,328,280
329,329,329,281
329,329,329,281
330,330,330,282
330,330,330,282
330,330,330,282
330,330,330,282
331,331,331,283
332,332,332,284
332,332,332,284
332,332,332,284
333,333,333,285
333,333,333,285
334,334,334,286
334,334,334,286
334,334,334,286
335,335,335,287
336,336,336,287
337,337,337,288
337,337,337,288
338,338,338,289
338,338,338,289
339,339,339,290
340,340,340,291
340,340,340,291
341,341,341,292
341,341,341,292
342,342,342,293
343,343,343,293
344,344,344,294
344,344,344,294
344,344,344,294
344,344,344,294
344,344,344,294
344,344,344,294
344,344,344,294
344,344,344,294
344,344,344,294
344,344,344,294
344,344,344,294
344,344,344,294
346,346,346,296
346,346,346,296
347,347,347,297
347,347,347,297
347,347,347,297
347,347,347,297
348,348,348,298
349,349,349,299
349,349,349,299
350,350,350,300
351,351,351,301
351,351,351,301
351,351,351,301
351,351,351,301
352,352,352,302
352,352,352,302
353,353,353,303
353,353,353,303
354,354,354,304
354,354,354,304
354,354,354,304
354,354,354,304
355,355,355,305
355,355,355,305
356,356,356,306
357,357,357,307
358,358,358,308
358,358,358,308
359,359,359,308
361,361,361,309
361,361,361,309
361,361,361,309
362,362,362,310
362,362,362,310
363,363,363,311
364,364,364,312
364,364,364,312
365,365,365,313
367,367,367,314
367,367,367,314
368,368,368,315
368,368,368,315
368,368,368,315
368,368,368,315
369,369,369,316
369,369,369,316
369,369,369,316
369,369,369,316
369,369,369,316
370,370,370,316
370,370,370,316
370,370,370,316
370,370,370,316
370,370,370,316
370,370,370,316
370,370,370,316
373,373,373,319
373,373,373,319
374,374,374,320
374,374,374,320
374,374,374,320
374,374,374,320
375,375,375,321
375,375,375,321
376,376,376,322
376,376,376,322
377,377,377,323
377,377,377,323
377,377,377,323
377,377,377,323
377,377,377,323
377,377,377,323
377,377,377,323
379,379,379,325
